exp,dte,strike,ask,cost,n@budget,BE,2x,5x,need%,sigma,delta,oi,p_BE,p_BE_d,p_touch
2026-08-07,1,724.0,0.68,68,5882,724.68,725.36,727.4,1.1,0.79,0.16,4799,16.1,17.1,16.1
2026-08-31,25,725.0,11.49,1149,348,736.49,747.98,782.45,2.7,0.47,0.431,3122,24.7,36.8,42.4
2026-09-04,29,725.0,13.51,1351,296,738.51,752.02,792.55,3.0,0.48,0.446,897,24.4,36.6,42.4
2026-08-10,4,725.0,1.46,146,2739,726.46,727.92,732.3,1.3,0.56,0.222,1725,24.4,27.9,29.5
2026-08-13,7,725.0,3.77,377,1061,728.77,732.54,743.85,1.6,0.54,0.32,658,25.3,30.1,33.1
2027-03-31,237,725.0,60.74,6074,65,785.74,846.48,1028.7,9.6,0.53,0.566,870,15.5,70.4,34.6
2026-09-18,43,725.0,17.73,1773,225,742.73,760.46,813.65,3.6,0.47,0.469,12579,28.8,42.9,44.8
2026-08-28,22,725.0,10.88,1088,367,735.88,746.76,779.4,2.6,0.48,0.426,763,26.8,36.7,41.6
2027-06-17,315,725.0,74.1,7410,53,799.1,873.2,1095.5,11.5,0.54,0.587,2066,11.8,99.3,46.2
2026-08-14,8,725.0,4.45,445,898,729.45,733.9,747.25,1.7,0.52,0.339,4554,24.7,32.5,35.5
2027-03-19,225,725.0,58.42,5842,68,783.42,841.84,1017.1,9.3,0.52,0.565,1866,14.6,63.8,34.7
2026-10-16,71,725.0,25.24,2524,158,750.24,775.48,851.2,4.6,0.47,0.495,3660,28.5,56.3,49.4
2026-08-21,15,725.0,7.56,756,529,732.56,740.12,762.8,2.2,0.48,0.393,9886,25.2,33.1,41.8
2027-01-15,162,725.0,45.87,4587,87,770.87,816.74,954.35,7.5,0.5,0.543,6726,22.4,58.0,47.7
2026-11-20,106,725.0,34.24,3424,116,759.24,793.48,896.2,5.9,0.49,0.519,3140,32.5,58.9,53.0
2026-08-11,5,725.0,2.21,221,1809,727.21,729.42,736.05,1.4,0.53,0.264,751,24.2,30.6,32.8
2027-09-17,407,725.0,88.77,8877,45,813.77,902.54,1168.85,13.5,0.55,0.605,584,21.6,92.0,29.6
2026-12-18,134,725.0,40.28,4028,99,765.28,805.56,926.4,6.7,0.5,0.533,4478,33.6,58.8,52.0
2026-08-17,11,725.0,5.29,529,756,730.29,735.58,751.45,1.9,0.48,0.356,691,28.8,34.1,40.9
2027-12-17,498,725.0,101.0,10100,39,826.0,927.0,1230.0,15.2,0.56,0.619,959,0.0,98.0,4.1
2026-12-31,147,725.0,42.78,4278,93,767.78,810.56,938.9,7.1,0.5,0.536,628,25.3,59.4,49.4
2026-08-07,1,725.0,0.52,52,7692,725.52,726.04,727.6,1.2,0.88,0.131,15457,12.7,14.9,12.7
2026-09-30,55,725.0,20.54,2054,194,745.54,766.08,827.7,4.0,0.47,0.476,1888,28.2,51.2,46.5
2026-08-07,1,726.0,0.4,40,10000,726.4,726.8,728.0,1.3,0.97,0.106,1799,11.1,11.7,11.1
2026-08-21,15,726.0,7.15,715,559,733.15,740.3,761.75,2.3,0.5,0.379,1041,24.7,32.5,40.6
2026-08-10,4,726.0,1.24,124,3225,727.24,728.48,732.2,1.4,0.61,0.196,1191,22.8,25.9,26.9
2026-08-14,8,726.0,4.1,410,975,730.1,734.2,746.5,1.8,0.55,0.321,557,24.1,31.5,33.5
2026-08-14,8,727.0,3.76,376,1063,730.76,734.52,745.8,1.9,0.58,0.302,602,23.9,28.5,32.3
2026-08-10,4,727.0,1.04,104,3846,728.04,729.08,732.2,1.5,0.66,0.172,751,20.6,23.8,24.6
2026-08-07,1,727.0,0.31,31,12903,727.31,727.62,728.55,1.4,1.07,0.086,2424,8.7,9.7,8.7
2026-08-21,15,727.0,6.75,675,592,733.75,740.5,760.75,2.3,0.52,0.365,2022,24.5,31.6,37.9
2026-08-14,8,727.5,3.6,360,1111,731.1,734.7,745.5,2.0,0.59,0.293,584,22.5,27.3,30.9
2026-08-07,1,728.0,0.24,24,16666,728.24,728.48,729.2,1.6,1.16,0.069,1819,7.2,8.3,7.2
2026-08-10,4,728.0,0.87,87,4597,728.87,729.74,732.35,1.7,0.71,0.149,1740,17.4,22.2,21.4
2026-08-21,15,728.0,6.37,637,627,734.37,740.74,759.85,2.4,0.54,0.351,739,23.3,30.8,36.3
2026-08-14,8,728.0,3.44,344,1162,731.44,734.88,745.2,2.0,0.61,0.284,2633,21.7,26.7,29.7
2026-08-07,1,729.0,0.19,19,21052,729.19,729.38,729.95,1.7,1.26,0.056,1054,6.2,7.2,6.2
2026-09-18,43,729.0,15.82,1582,252,744.82,760.64,808.1,3.9,0.51,0.437,502,25.6,41.6,40.0
2026-08-21,15,729.0,6.0,600,666,735.0,741.0,759.0,2.5,0.56,0.338,821,22.5,30.4,35.1
2026-12-31,147,730.0,40.17,4017,99,770.17,810.34,930.85,7.4,0.52,0.517,1314,23.3,58.6,46.6
2027-12-17,498,730.0,98.3,9830,40,828.3,926.6,1221.5,15.5,0.57,0.61,1782,0.0,98.0,2.0
2026-12-18,134,730.0,37.66,3766,106,767.66,805.32,918.3,7.1,0.52,0.513,12262,32.6,57.8,49.0
2026-11-20,106,730.0,31.62,3162,126,761.62,793.24,888.1,6.2,0.52,0.496,2677,31.3,57.0,49.1
2028-01-21,533,730.0,102.5,10250,39,832.5,935.0,1242.5,16.1,0.57,0.614,8172,0.0,99.2,1.6
2027-01-15,162,730.0,43.22,4322,92,773.22,816.44,946.1,7.8,0.52,0.525,5178,21.4,57.0,44.8
2027-03-19,225,730.0,55.74,5574,71,785.74,841.48,1008.7,9.6,0.54,0.55,11691,13.4,62.7,33.2
2026-09-18,43,730.0,15.37,1537,260,745.37,760.74,806.85,4.0,0.52,0.429,14498,24.9,41.2,38.9
2026-08-28,22,730.0,8.76,876,456,738.76,747.52,773.8,3.0,0.56,0.371,3591,21.5,32.8,34.2
2028-12-15,862,730.0,140.5,14050,28,870.5,1011.0,1432.5,21.4,0.58,0.657,1996,,,
2027-03-31,237,730.0,57.39,5739,69,787.39,844.78,1016.95,9.8,0.54,0.552,886,14.9,68.7,33.7
2027-06-17,315,730.0,71.38,7138,56,801.38,872.76,1086.9,11.8,0.55,0.576,3099,10.8,98.9,44.4
2026-08-31,25,730.0,9.34,934,428,739.34,748.68,776.7,3.1,0.54,0.378,8923,21.6,31.9,36.2
2026-09-04,29,730.0,11.27,1127,354,741.27,752.54,786.35,3.4,0.54,0.398,677,21.5,33.1,37.5
2026-08-21,15,730.0,5.63,563,710,735.63,741.26,758.15,2.6,0.58,0.324,40872,22.3,28.6,34.1
2026-10-16,71,730.0,22.74,2274,175,752.74,775.48,843.7,5.0,0.51,0.465,7905,27.2,54.3,46.6
2026-09-30,55,730.0,18.11,1811,220,748.11,766.22,820.55,4.3,0.51,0.442,1453,26.7,47.3,43.0
2026-08-14,8,730.0,2.83,283,1413,732.83,735.66,744.15,2.2,0.67,0.25,9358,18.9,24.3,27.1
2026-08-11,5,730.0,1.1,110,3636,731.1,732.2,735.5,2.0,0.73,0.157,3681,17.8,20.8,22.6
2026-08-17,11,730.0,3.6,360,1111,733.6,737.2,748.0,2.3,0.6,0.274,513,21.6,29.4,31.2
2026-08-12,6,730.0,1.74,174,2298,731.74,733.48,738.7,2.1,0.76,0.198,1528,16.2,20.6,20.4
2026-08-13,7,730.0,2.31,231,1731,732.31,734.62,741.55,2.1,0.71,0.226,518,18.8,22.8,23.8
2026-08-10,4,730.0,0.59,59,6779,730.59,731.18,732.95,1.9,0.81,0.11,5324,14.4,17.0,17.8
2026-08-07,1,730.0,0.15,15,26666,730.15,730.3,730.75,1.8,1.36,0.045,10997,5.6,5.8,5.6
2026-08-14,8,731.0,2.61,261,1532,733.61,736.22,744.05,2.3,0.7,0.233,680,17.9,23.9,25.1
2026-08-10,4,731.0,0.49,49,8163,731.49,731.98,733.45,2.0,0.86,0.093,654,13.2,15.4,15.8
2026-08-07,1,731.0,0.12,12,33333,731.12,731.24,731.6,2.0,1.46,0.036,937,4.8,5.4,4.8
2026-08-21,15,731.0,5.31,531,753,736.31,741.62,757.55,2.7,0.6,0.31,782,21.7,27.8,32.5
2026-08-21,15,732.0,4.98,498,803,736.98,741.96,756.9,2.8,0.62,0.297,1128,21.3,26.2,30.8
2026-08-07,1,732.0,0.1,10,40000,732.1,732.2,732.5,2.1,1.56,0.03,4374,4.4,4.6,4.4
2026-08-10,4,732.0,0.4,40,10000,732.4,732.8,734.0,2.1,0.92,0.078,861,12.0,14.0,14.4
2026-08-14,8,732.0,2.37,237,1687,734.37,736.74,743.85,2.4,0.73,0.217,3271,17.3,21.7,23.7
2026-08-07,1,733.0,0.08,8,50000,733.08,733.16,733.4,2.2,1.65,0.024,1466,3.6,4.0,3.6
2026-09-18,43,733.0,14.06,1406,284,747.06,761.12,803.3,4.2,0.55,0.406,709,22.2,40.0,35.7
2026-08-21,15,733.0,4.67,467,856,737.67,742.34,756.35,2.9,0.64,0.284,3500,20.7,25.4,30.6
2026-08-21,15,734.0,4.38,438,913,738.38,742.76,755.9,3.0,0.66,0.272,1494,20.5,24.7,29.2
2026-08-14,8,734.0,1.94,194,2061,735.94,737.88,743.7,2.6,0.79,0.187,516,15.9,18.7,20.9
2026-08-07,1,734.0,0.07,7,57142,734.07,734.14,734.35,2.4,1.76,0.02,1294,2.4,3.4,2.4
2026-11-20,106,735.0,29.2,2920,136,764.2,793.4,881.0,6.6,0.55,0.473,1266,29.9,54.7,46.0
2026-09-30,55,735.0,15.95,1595,250,750.95,766.9,814.75,4.7,0.55,0.408,704,24.7,44.7,37.0
2026-09-04,29,735.0,9.3,930,430,744.3,753.6,781.5,3.8,0.61,0.351,27031,18.8,29.6,28.8
2027-01-15,162,735.0,40.69,4069,98,775.69,816.38,938.45,8.2,0.55,0.507,2244,19.1,54.9,40.7
2027-03-31,237,735.0,54.78,5478,73,789.78,844.56,1008.9,10.2,0.55,0.538,770,14.3,65.7,32.8
2026-08-07,1,735.0,0.05,5,80000,735.05,735.1,735.25,2.5,1.86,0.017,17391,2.0,2.2,2.0
2027-06-30,328,735.0,71.43,7143,55,806.43,877.86,1092.15,12.5,0.57,0.565,791,8.9,98.5,41.5
2026-10-16,71,735.0,20.42,2042,195,755.42,775.84,837.1,5.4,0.55,0.436,1204,24.5,52.3,42.8
2026-08-28,22,735.0,6.94,694,576,741.94,748.88,769.7,3.5,0.64,0.318,12548,18.9,28.7,28.7
2026-08-12,6,735.0,0.91,91,4395,735.91,736.82,739.55,2.6,0.97,0.119,3166,11.8,14.0,13.6
2026-08-31,25,735.0,7.47,747,535,742.47,749.94,772.35,3.6,0.61,0.326,3381,18.3,28.6,30.0
2026-08-10,4,735.0,0.22,22,18181,735.22,735.44,736.1,2.5,1.08,0.046,1550,8.8,10.2,10.4
2026-08-14,8,735.0,1.75,175,2285,736.75,738.5,743.75,2.8,0.83,0.173,13518,15.3,17.7,19.3
2027-03-19,225,735.0,53.16,5316,75,788.16,841.32,1000.8,9.9,0.56,0.536,3858,13.4,61.5,32.9
2026-08-17,11,735.0,2.34,234,1709,737.34,739.68,746.7,2.8,0.74,0.2,612,16.3,21.6,23.2
2026-09-18,43,735.0,13.24,1324,302,748.24,761.48,801.2,4.4,0.57,0.391,11375,20.9,38.7,33.4
2026-12-18,134,735.0,35.13,3513,113,770.13,805.26,910.65,7.4,0.54,0.493,9201,29.9,57.1,45.6
2027-12-17,498,735.0,95.64,9564,41,830.64,926.28,1213.2,15.8,0.58,0.601,936,0.0,97.3,2.0
2026-08-21,15,735.0,4.09,409,977,739.09,743.18,755.45,3.1,0.68,0.259,13993,19.7,24.5,28.0
2026-12-31,147,735.0,37.59,3759,106,772.59,810.18,922.95,7.8,0.54,0.498,7770,22.3,57.9,44.1
2027-06-17,315,735.0,68.73,6873,58,803.73,872.46,1078.65,12.1,0.57,0.564,1800,10.0,98.6,41.9
2026-08-07,1,736.0,0.05,5,80000,736.05,736.1,736.25,2.7,1.96,0.014,1491,1.6,1.8,1.6
2026-09-18,43,736.0,12.84,1284,311,748.84,761.68,800.2,4.4,0.58,0.383,946,20.7,38.3,32.6
2026-08-21,15,736.0,3.83,383,1044,739.83,743.66,755.15,3.2,0.71,0.247,684,19.3,23.3,26.8
2026-08-21,15,737.0,3.58,358,1117,740.58,744.16,754.9,3.3,0.73,0.235,1297,18.7,22.5,25.8
2026-08-07,1,737.0,0.05,5,80000,737.05,737.1,737.25,2.8,2.06,0.012,2563,1.2,1.6,1.2
2026-08-14,8,737.0,1.42,142,2816,738.42,739.84,744.1,3.0,0.9,0.147,511,13.5,16.3,16.7
2026-08-07,1,738.0,0.04,4,100000,738.04,738.08,738.2,2.9,2.16,0.01,971,1.0,1.2,1.0
2026-08-14,8,738.0,1.27,127,3149,739.27,740.54,744.35,3.1,0.93,0.134,500,12.7,15.7,15.3
2026-08-21,15,738.0,3.33,333,1201,741.33,744.66,754.65,3.4,0.75,0.223,3510,17.8,22.1,24.5
2026-08-07,1,739.0,0.04,4,100000,739.04,739.08,739.2,3.1,2.26,0.009,845,0.8,0.8,0.8
2026-08-21,15,739.0,3.11,311,1286,742.11,745.22,754.55,3.5,0.77,0.211,800,16.8,21.3,22.7
2026-08-14,8,740.0,1.0,100,4000,741.0,742.0,745.0,3.3,1.0,0.112,8902,11.8,14.1,13.9
2027-03-19,225,740.0,50.62,5062,79,790.62,841.24,993.1,10.3,0.57,0.521,1802,13.4,59.5,31.5
2026-08-31,25,740.0,5.9,590,677,745.9,751.8,769.5,4.0,0.69,0.277,3349,15.6,24.1,24.7
2026-08-11,5,740.0,0.2,20,20000,740.2,740.4,741.0,3.2,1.19,0.035,1324,9.0,10.6,9.6
2026-09-18,43,740.0,11.31,1131,353,751.31,762.62,796.55,4.8,0.63,0.352,24029,18.8,35.9,27.3
2026-08-21,15,740.0,2.89,289,1384,742.89,745.78,754.45,3.6,0.8,0.201,27069,16.0,20.7,21.7
2026-08-28,22,740.0,5.41,541,739,745.41,750.82,767.05,4.0,0.72,0.267,1646,15.6,23.2,23.6
2026-08-12,6,740.0,0.43,43,9302,740.43,740.86,742.15,3.3,1.2,0.064,1903,8.8,10.0,9.4
2026-08-10,4,740.0,0.08,8,50000,740.08,740.16,740.4,3.2,1.36,0.019,6344,6.4,6.4,6.8
2026-12-31,147,740.0,35.13,3513,113,775.13,810.26,915.65,8.1,0.57,0.479,3781,20.8,57.1,41.4
2027-06-17,315,740.0,66.16,6616,60,806.16,872.32,1070.8,12.4,0.58,0.552,8443,9.0,98.6,39.4
2027-12-17,498,740.0,93.04,9304,42,833.04,926.08,1205.2,16.2,0.59,0.592,1361,0.0,97.3,1.4
2027-03-31,237,740.0,52.9,5290,75,792.9,845.8,1004.5,10.6,0.58,0.524,2010,13.4,63.3,29.9
2027-01-15,162,740.0,38.17,3817,104,778.17,816.34,930.85,8.5,0.57,0.488,6368,18.3,53.1,37.9
2026-08-13,7,740.0,0.71,71,5633,740.71,741.42,743.55,3.3,1.09,0.089,1036,10.2,12.6,11.4
2026-12-18,134,740.0,32.72,3272,122,772.72,805.44,903.6,7.8,0.57,0.473,12620,27.5,54.7,42.6
2028-06-16,680,740.0,114.5,11450,34,854.5,969.0,1312.5,19.2,0.59,0.621,524,,,
2026-11-20,106,740.0,26.84,2684,149,766.84,793.68,874.2,7.0,0.58,0.45,1997,28.5,53.3,42.5
2027-06-30,328,740.0,68.86,6886,58,808.86,877.72,1084.3,12.8,0.59,0.554,811,8.1,98.5,38.9
2026-09-04,29,740.0,7.6,760,526,747.6,755.2,778.0,4.3,0.68,0.306,974,16.4,25.9,25.3
2026-08-17,11,740.0,1.46,146,2739,741.46,742.92,747.3,3.4,0.88,0.139,944,13.7,16.3,17.3
2026-10-16,71,740.0,18.26,1826,219,758.26,776.52,831.3,5.8,0.58,0.406,7215,23.2,50.8,37.7
2026-08-07,1,740.0,0.03,3,133333,740.03,740.06,740.15,3.2,2.36,0.008,8567,0.4,0.8,0.4
2026-09-30,55,740.0,13.91,1391,287,753.91,767.82,809.55,5.1,0.6,0.374,805,22.4,41.1,32.3
2026-08-21,15,741.0,2.69,269,1486,743.69,746.38,754.45,3.7,0.82,0.19,1110,14.4,20.5,20.3
2026-09-18,43,741.0,10.97,1097,364,751.97,762.94,795.85,4.9,0.64,0.345,1274,18.6,35.5,27.1
2026-08-14,8,741.0,0.9,90,4444,741.9,742.8,745.5,3.5,1.04,0.102,594,11.0,12.9,12.2
2026-08-07,1,741.0,0.03,3,133333,741.03,741.06,741.15,3.4,2.46,0.007,1286,0.4,0.4,0.4
2026-08-28,22,742.0,4.88,488,819,746.88,751.76,766.4,4.2,0.76,0.248,982,15.0,21.3,22.1
2026-08-31,25,742.0,5.36,536,746,747.36,752.72,768.8,4.2,0.73,0.258,1905,15.0,22.6,23.0
2026-08-21,15,742.0,2.5,250,1600,744.5,747.0,754.5,3.8,0.85,0.179,1671,14.0,19.7,19.1
2026-08-07,1,742.0,0.03,3,133333,742.03,742.06,742.15,3.5,2.56,0.006,679,0.4,0.4,0.4
2026-08-21,15,743.0,2.32,232,1724,745.32,747.64,754.6,3.9,0.87,0.169,731,13.4,19.3,18.1
2026-08-07,1,743.0,0.03,3,133333,743.03,743.06,743.15,3.6,2.66,0.005,921,0.4,0.4,0.4
2026-08-21,15,744.0,2.15,215,1860,746.15,748.3,754.75,4.1,0.9,0.159,5185,13.0,18.7,17.0
2026-09-04,29,745.0,6.13,613,652,751.13,757.26,775.65,4.8,0.76,0.263,529,14.1,21.9,20.3
2026-08-18,12,745.0,1.1,110,3636,746.1,747.2,750.5,4.1,0.99,0.106,1310,11.3,13.3,13.9
2026-08-14,8,745.0,0.56,56,7142,745.56,746.12,747.8,4.0,1.19,0.068,2093,9.4,10.6,10.4
2026-10-16,71,745.0,16.27,1627,245,761.27,777.54,826.35,6.2,0.63,0.377,2895,20.8,47.7,33.1
2026-12-18,134,745.0,30.46,3046,131,775.46,805.92,897.3,8.2,0.6,0.452,7954,23.8,52.7,39.2
2027-01-15,162,745.0,35.87,3587,111,780.87,816.74,924.35,8.9,0.59,0.47,1414,17.3,50.8,36.3
2027-06-17,315,745.0,63.65,6365,62,808.65,872.3,1063.25,12.8,0.6,0.54,3624,9.0,98.2,35.5
2027-03-31,237,745.0,50.44,5044,79,795.44,845.88,997.2,10.9,0.6,0.509,1940,13.1,60.9,28.4
2026-08-11,5,745.0,0.08,8,50000,745.08,745.16,745.4,3.9,1.43,0.016,1457,6.4,7.2,6.6
2026-08-17,11,745.0,0.86,86,4651,745.86,746.72,749.3,4.0,1.04,0.091,929,10.5,13.5,13.1
2026-08-10,4,745.0,0.04,4,100000,745.04,745.08,745.2,3.9,1.65,0.01,5331,3.2,3.6,3.4
2027-12-17,498,745.0,90.48,9048,44,835.48,925.96,1197.4,16.5,0.6,0.583,825,0.0,96.6,1.4
2026-08-12,6,745.0,0.2,20,20000,745.2,745.4,746.0,3.9,1.44,0.032,1935,6.4,7.0,6.4
2026-09-18,43,745.0,9.61,961,416,754.61,764.22,793.05,5.2,0.69,0.315,11575,16.7,32.8,23.5
2027-09-17,407,745.0,78.28,7828,51,823.28,901.56,1136.4,14.8,0.6,0.564,1581,21.1,89.7,27.7
2026-12-31,147,745.0,32.81,3281,121,777.81,810.62,909.05,8.5,0.59,0.459,4344,19.5,54.6,38.3
2026-09-30,55,745.0,12.11,1211,330,757.11,769.22,805.55,5.6,0.65,0.34,614,18.7,37.0,27.5
2026-08-31,25,745.0,4.6,460,869,749.6,754.2,768.0,4.5,0.78,0.231,2579,14.0,20.4,20.6
2026-08-21,15,745.0,1.99,199,2010,746.99,748.98,754.95,4.2,0.92,0.15,11624,12.2,17.6,16.4
2026-08-28,22,745.0,4.15,415,963,749.15,753.3,765.75,4.5,0.82,0.22,844,13.7,19.3,20.5
2027-03-19,225,745.0,48.18,4818,83,793.18,841.36,985.9,10.6,0.59,0.506,1878,13.4,58.0,29.2
2026-08-31,25,747.0,4.16,416,961,751.16,755.32,767.8,4.8,0.82,0.214,1699,13.4,18.3,19.1
2026-08-21,15,747.0,1.7,170,2352,748.7,750.4,755.5,4.4,0.97,0.133,849,11.2,15.8,15.2
2026-08-14,8,747.0,0.44,44,9090,747.44,747.88,749.2,4.2,1.27,0.055,2197,8.4,9.6,9.0
2026-08-21,15,748.0,1.57,157,2547,749.57,751.14,755.85,4.5,1.0,0.124,1265,10.8,14.2,14.8
2026-08-28,22,748.0,3.52,352,1136,751.52,755.04,765.6,4.8,0.88,0.194,972,12.5,16.8,17.4
2026-08-21,15,749.0,1.45,145,2758,750.45,751.9,756.25,4.7,1.03,0.117,716,10.1,13.6,13.8
2026-08-12,6,750.0,0.09,9,44444,750.09,750.18,750.45,4.6,1.68,0.016,572,4.0,4.8,4.0
2026-09-30,55,750.0,10.47,1047,382,760.47,770.94,802.35,6.1,0.7,0.308,4588,17.2,33.5,23.7
2026-08-11,5,750.0,0.04,4,100000,750.04,750.08,750.2,4.6,1.68,0.008,2632,4.0,5.0,4.0
2026-09-18,43,750.0,8.1,810,493,758.1,766.2,790.5,5.7,0.75,0.28,33067,14.8,28.8,19.9
2026-10-16,71,750.0,14.45,1445,276,764.45,778.9,822.25,6.6,0.67,0.348,15403,19.9,43.3,29.1
2026-11-20,106,750.0,22.58,2258,177,772.58,795.16,862.9,7.8,0.64,0.404,1202,25.0,48.1,33.9
2026-09-04,29,750.0,4.89,489,817,754.89,759.78,774.45,5.3,0.84,0.223,1856,13.3,18.8,17.2
2028-01-21,533,750.0,92.0,9200,43,842.0,934.0,1210.0,17.4,0.61,0.579,1908,0.0,99.2,0.0
2026-08-17,11,750.0,0.51,51,7843,750.51,751.02,752.55,4.7,1.21,0.058,2251,8.3,10.1,10.9
2027-12-17,498,750.0,87.96,8796,45,837.96,925.92,1189.8,16.9,0.62,0.574,2517,0.0,96.6,1.4
2027-06-17,315,750.0,61.19,6119,65,811.19,872.38,1055.95,13.1,0.61,0.528,8492,7.2,98.2,32.6
2026-08-21,15,750.0,1.32,132,3030,751.32,752.64,756.6,4.8,1.05,0.109,34406,10.1,13.2,13.4
2027-03-31,237,750.0,48.01,4801,83,798.01,846.02,990.05,11.3,0.61,0.495,838,12.8,59.4,26.3
