exp,dte,strike,ask,cost,n@budget,BE,2x,5x,need%,sigma,delta,oi,p_BE,p_BE_d,p_touch
2026-08-21,25,795.0,0.09,9,111,795.09,795.18,795.45,7.8,2.88,0.012,2926,0.0,0.2,0.0
2026-08-21,25,796.0,0.09,9,111,796.09,796.18,796.45,8.0,2.93,0.011,1108,0.0,0.2,0.0
2026-08-21,25,797.0,0.08,8,125,797.08,797.16,797.4,8.1,2.98,0.01,1253,0.0,0.2,0.0
2026-08-21,25,798.0,0.08,8,125,798.08,798.16,798.4,8.2,3.03,0.01,1301,0.0,0.2,0.0
2026-08-21,25,799.0,0.07,7,142,799.07,799.14,799.35,8.4,3.08,0.009,1051,0.0,0.2,0.0
2026-08-21,25,800.0,0.07,7,142,800.07,800.14,800.35,8.5,3.12,0.009,20552,0.0,0.0,0.0
2026-08-21,25,805.0,0.06,6,166,805.06,805.12,805.3,9.2,3.36,0.007,10444,0.0,0.0,0.0
2026-08-21,25,810.0,0.05,5,200,810.05,810.1,810.25,9.8,3.6,0.006,13646,0.0,0.0,0.0
2026-08-21,25,815.0,0.04,4,250,815.04,815.08,815.2,10.5,3.83,0.005,2467,0.0,0.0,0.0
2026-08-21,25,820.0,0.04,4,250,820.04,820.08,820.2,11.2,4.07,0.004,10455,0.0,0.0,0.0
2026-08-21,25,825.0,0.04,4,250,825.04,825.08,825.2,11.9,4.3,0.003,19944,0.0,0.0,0.0
2026-08-21,25,830.0,0.03,3,333,830.03,830.06,830.15,12.6,4.53,0.003,12994,0.0,0.0,0.0
2026-08-21,25,835.0,0.03,3,333,835.03,835.06,835.15,13.2,4.76,0.003,2359,0.0,0.0,0.0
2026-08-21,25,840.0,0.03,3,333,840.03,840.06,840.15,13.9,4.99,0.002,2630,0.0,0.0,0.0
2026-08-21,25,845.0,0.03,3,333,845.03,845.06,845.15,14.6,5.22,0.002,2835,0.0,0.0,0.0
